/home/fluxie/projects/cpp/return_test/cmake-build-release/return_test
Data: 25, Buffer: 64, Duration:83717 ns, Vector: 0, Exceptions: 0
Data: 25, Buffer: 64, Duration:220674 ns, Vector: 1, Exceptions: 0
Data: 25, Buffer: 128, Duration:83717 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 128, Duration:209082 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 256, Duration:84248 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 256, Duration:218149 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 512, Duration:83717 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 512, Duration:213691 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 1024, Duration:83717 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 1024, Duration:218149 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 2048, Duration:83717 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 2048, Duration:209092 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 4096, Duration:86633 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 4096, Duration:224331 ns, Vector: 1, Exceptions: 1
Data: 36, Buffer: 64, Duration:92243 ns, Vector: 0, Exceptions: 1
Data: 36, Buffer: 64, Duration:190828 ns, Vector: 1, Exceptions: 1
Data: 36, Buffer: 64, Duration:92213 ns, Vector: 0, Exceptions: 0
Data: 36, Buffer: 64, Duration:202930 ns, Vector: 1, Exceptions: 0
Data: 36, Buffer: 128, Duration:95078 ns, Vector: 0, Exceptions: 1
Data: 36, Buffer: 128, Duration:191339 ns, Vector: 1, Exceptions: 1
Data: 36, Buffer: 256, Duration:92354 ns, Vector: 0, Exceptions: 1
Data: 36, Buffer: 256, Duration:200396 ns, Vector: 1, Exceptions: 1
Data: 36, Buffer: 512, Duration:92543 ns, Vector: 0, Exceptions: 1
Data: 36, Buffer: 512, Duration:199134 ns, Vector: 1, Exceptions: 1
Data: 36, Buffer: 1024, Duration:92283 ns, Vector: 0, Exceptions: 1
Data: 36, Buffer: 1024, Duration:202931 ns, Vector: 1, Exceptions: 1
Data: 36, Buffer: 2048, Duration:92173 ns, Vector: 0, Exceptions: 1
Data: 36, Buffer: 2048, Duration:191048 ns, Vector: 1, Exceptions: 1
Data: 36, Buffer: 4096, Duration:97893 ns, Vector: 0, Exceptions: 1
Data: 36, Buffer: 4096, Duration:202931 ns, Vector: 1, Exceptions: 1
Data: 49, Buffer: 64, Duration:91602 ns, Vector: 0, Exceptions: 1
Data: 49, Buffer: 64, Duration:189626 ns, Vector: 1, Exceptions: 1
Data: 49, Buffer: 64, Duration:92173 ns, Vector: 0, Exceptions: 0
Data: 49, Buffer: 64, Duration:202930 ns, Vector: 1, Exceptions: 0
Data: 49, Buffer: 128, Duration:92473 ns, Vector: 0, Exceptions: 1
Data: 49, Buffer: 128, Duration:191339 ns, Vector: 1, Exceptions: 1
Data: 49, Buffer: 256, Duration:92173 ns, Vector: 0, Exceptions: 1
Data: 49, Buffer: 256, Duration:200396 ns, Vector: 1, Exceptions: 1
Data: 49, Buffer: 512, Duration:91331 ns, Vector: 0, Exceptions: 1
Data: 49, Buffer: 512, Duration:200396 ns, Vector: 1, Exceptions: 1
Data: 49, Buffer: 1024, Duration:92173 ns, Vector: 0, Exceptions: 1
Data: 49, Buffer: 1024, Duration:202931 ns, Vector: 1, Exceptions: 1
Data: 49, Buffer: 2048, Duration:91913 ns, Vector: 0, Exceptions: 1
Data: 49, Buffer: 2048, Duration:191339 ns, Vector: 1, Exceptions: 1
Data: 49, Buffer: 4096, Duration:96060 ns, Vector: 0, Exceptions: 1
Data: 49, Buffer: 4096, Duration:202940 ns, Vector: 1, Exceptions: 1
Data: 64, Buffer: 64, Duration:60524 ns, Vector: 0, Exceptions: 1
Data: 64, Buffer: 64, Duration:189615 ns, Vector: 1, Exceptions: 1
Data: 64, Buffer: 64, Duration:60894 ns, Vector: 0, Exceptions: 0
Data: 64, Buffer: 64, Duration:205526 ns, Vector: 1, Exceptions: 0
Data: 64, Buffer: 128, Duration:61685 ns, Vector: 0, Exceptions: 1
Data: 64, Buffer: 128, Duration:191339 ns, Vector: 1, Exceptions: 1
Data: 64, Buffer: 256, Duration:60894 ns, Vector: 0, Exceptions: 1
Data: 64, Buffer: 256, Duration:200396 ns, Vector: 1, Exceptions: 1
Data: 64, Buffer: 512, Duration:60894 ns, Vector: 0, Exceptions: 1
Data: 64, Buffer: 512, Duration:200396 ns, Vector: 1, Exceptions: 1
Data: 64, Buffer: 1024, Duration:60904 ns, Vector: 0, Exceptions: 1
Data: 64, Buffer: 1024, Duration:204223 ns, Vector: 1, Exceptions: 1
Data: 64, Buffer: 2048, Duration:60514 ns, Vector: 0, Exceptions: 1
Data: 64, Buffer: 2048, Duration:191339 ns, Vector: 1, Exceptions: 1
Data: 64, Buffer: 4096, Duration:82325 ns, Vector: 0, Exceptions: 1
Data: 64, Buffer: 4096, Duration:204223 ns, Vector: 1, Exceptions: 1
Data: 81, Buffer: 128, Duration:126838 ns, Vector: 0, Exceptions: 1
Data: 81, Buffer: 128, Duration:211376 ns, Vector: 1, Exceptions: 1
Data: 81, Buffer: 256, Duration:135404 ns, Vector: 0, Exceptions: 1
Data: 81, Buffer: 256, Duration:220965 ns, Vector: 1, Exceptions: 1
Data: 81, Buffer: 512, Duration:127649 ns, Vector: 0, Exceptions: 1
Data: 81, Buffer: 512, Duration:206918 ns, Vector: 1, Exceptions: 1
Data: 81, Buffer: 1024, Duration:126838 ns, Vector: 0, Exceptions: 1
Data: 81, Buffer: 1024, Duration:220694 ns, Vector: 1, Exceptions: 1
Data: 81, Buffer: 2048, Duration:126838 ns, Vector: 0, Exceptions: 1
Data: 81, Buffer: 2048, Duration:210034 ns, Vector: 1, Exceptions: 1
Data: 81, Buffer: 4096, Duration:127650 ns, Vector: 0, Exceptions: 1
Data: 81, Buffer: 4096, Duration:223218 ns, Vector: 1, Exceptions: 1
Data: 100, Buffer: 128, Duration:109094 ns, Vector: 0, Exceptions: 1
Data: 100, Buffer: 128, Duration:210034 ns, Vector: 1, Exceptions: 1
Data: 100, Buffer: 256, Duration:109094 ns, Vector: 0, Exceptions: 1
Data: 100, Buffer: 256, Duration:220093 ns, Vector: 1, Exceptions: 1
Data: 100, Buffer: 512, Duration:109095 ns, Vector: 0, Exceptions: 1
Data: 100, Buffer: 512, Duration:206918 ns, Vector: 1, Exceptions: 1
Data: 100, Buffer: 1024, Duration:108414 ns, Vector: 0, Exceptions: 1
Data: 100, Buffer: 1024, Duration:220373 ns, Vector: 1, Exceptions: 1
Data: 100, Buffer: 2048, Duration:115036 ns, Vector: 0, Exceptions: 1
Data: 100, Buffer: 2048, Duration:210034 ns, Vector: 1, Exceptions: 1
Data: 100, Buffer: 4096, Duration:121779 ns, Vector: 0, Exceptions: 1
Data: 100, Buffer: 4096, Duration:221956 ns, Vector: 1, Exceptions: 1
Data: 121, Buffer: 128, Duration:109094 ns, Vector: 0, Exceptions: 1
Data: 121, Buffer: 128, Duration:210034 ns, Vector: 1, Exceptions: 1
Data: 121, Buffer: 256, Duration:109095 ns, Vector: 0, Exceptions: 1
Data: 121, Buffer: 256, Duration:219422 ns, Vector: 1, Exceptions: 1
Data: 121, Buffer: 512, Duration:109786 ns, Vector: 0, Exceptions: 1
Data: 121, Buffer: 512, Duration:208240 ns, Vector: 1, Exceptions: 1
Data: 121, Buffer: 1024, Duration:109095 ns, Vector: 0, Exceptions: 1
Data: 121, Buffer: 1024, Duration:219422 ns, Vector: 1, Exceptions: 1
Data: 121, Buffer: 2048, Duration:109937 ns, Vector: 0, Exceptions: 1
Data: 121, Buffer: 2048, Duration:210034 ns, Vector: 1, Exceptions: 1
Data: 121, Buffer: 4096, Duration:122179 ns, Vector: 0, Exceptions: 1
Data: 121, Buffer: 4096, Duration:223218 ns, Vector: 1, Exceptions: 1
Data: 144, Buffer: 256, Duration:104627 ns, Vector: 0, Exceptions: 1
Data: 144, Buffer: 256, Duration:225763 ns, Vector: 1, Exceptions: 1
Data: 144, Buffer: 512, Duration:104636 ns, Vector: 0, Exceptions: 1
Data: 144, Buffer: 512, Duration:200406 ns, Vector: 1, Exceptions: 1
Data: 144, Buffer: 1024, Duration:105287 ns, Vector: 0, Exceptions: 1
Data: 144, Buffer: 1024, Duration:207779 ns, Vector: 1, Exceptions: 1
Data: 144, Buffer: 2048, Duration:127770 ns, Vector: 0, Exceptions: 1
Data: 144, Buffer: 2048, Duration:207780 ns, Vector: 1, Exceptions: 1
Data: 144, Buffer: 4096, Duration:130204 ns, Vector: 0, Exceptions: 1
Data: 144, Buffer: 4096, Duration:213400 ns, Vector: 1, Exceptions: 1
